City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
208,Northam,GB,2022-02-12 14:48:42,51.0333,-4.2167,47.91,89,100,23.24,overcast clouds
209,Port Hedland,AU,2022-02-12 14:48:42,-20.3167,118.5667,86.05,84,62,2.3,broken clouds
210,Sri Aman,MY,2022-02-12 14:48:42,1.2376,111.4621,75.25,94,100,0.0,overcast clouds
211,Soyo,AO,2022-02-12 14:48:42,-6.1349,12.3689,87.85,67,75,11.65,broken clouds
212,Morant Bay,JM,2022-02-12 14:48:43,17.8815,-76.4093,80.22,76,35,15.17,scattered clouds
213,Grand Gaube,MU,2022-02-12 14:48:43,-20.0064,57.6608,82.8,69,75,1.99,broken clouds
214,Bac Lieu,VN,2022-02-12 14:48:43,9.285,105.7244,78.69,83,100,12.41,overcast clouds
215,Bredasdorp,ZA,2022-02-12 14:48:44,-34.5322,20.0403,76.32,61,29,11.5,scattered clouds
216,Luderitz,NA,2022-02-12 14:48:44,-26.6481,15.1594,73.47,68,52,4.52,broken clouds
217,Aksu,CN,2022-02-12 14:48:44,41.1231,80.2644,31.53,45,64,5.03,broken clouds
218,Ahome,MX,2022-02-12 14:48:45,25.9167,-109.1833,51.75,49,10,3.76,clear sky
219,Zemio,CF,2022-02-12 14:48:45,5.0314,25.1361,98.42,13,99,2.98,overcast clouds
220,Ambovombe,MG,2022-02-12 14:48:45,-25.1667,46.0833,77.23,80,0,20.31,clear sky
221,Sangar,RU,2022-02-12 14:48:45,63.9242,127.4739,-22.5,99,100,2.24,overcast clouds
222,Esperance,AU,2022-02-12 14:48:46,-33.8667,121.9,66.04,73,99,14.99,overcast clouds
223,Chester,US,2022-02-12 14:47:15,40.1254,-75.8749,54.21,63,0,13.8,clear sky
224,Shaunavon,CA,2022-02-12 14:48:46,49.6501,-108.4181,20.98,75,99,11.81,overcast clouds
225,Susuman,RU,2022-02-12 14:48:46,62.7833,148.1667,-37.73,99,83,0.43,broken clouds
226,Saint-Philippe,RE,2022-02-12 14:48:47,-21.3585,55.7679,81.95,77,18,6.87,few clouds
227,Klaksvik,FO,2022-02-12 14:49:47,62.2266,-6.589,41.92,87,100,13.47,overcast clouds
228,Vostok,RU,2022-02-12 14:49:48,46.4856,135.8833,5.74,98,100,2.33,light snow
229,Cabra,ES,2022-02-12 14:49:48,37.4725,-4.4421,66.13,50,56,3.0,broken clouds
230,Chitral,PK,2022-02-12 14:49:48,35.8462,71.7858,36.41,67,63,4.09,broken clouds
231,Conyers,US,2022-02-12 14:49:48,33.6676,-84.0177,58.73,74,0,0.0,clear sky
232,Itarema,BR,2022-02-12 14:49:49,-2.9248,-39.9167,84.34,64,100,11.25,overcast clouds
233,Haines Junction,CA,2022-02-12 14:49:49,60.7522,-137.5108,35.55,60,97,4.61,overcast clouds
234,Vestmannaeyjar,IS,2022-02-12 14:49:49,63.4427,-20.2734,32.99,93,75,8.05,broken clouds
235,Khandyga,RU,2022-02-12 14:49:50,62.6667,135.6,-41.19,100,86,1.72,overcast clouds
236,Aripuana,BR,2022-02-12 14:49:50,-9.1667,-60.6333,76.8,84,100,0.43,overcast clouds
237,Lithakia,GR,2022-02-12 14:49:50,37.7167,20.8333,56.57,69,100,1.97,overcast clouds
238,Waitati,NZ,2022-02-12 14:49:50,-45.75,170.5667,50.81,70,100,8.01,overcast clouds
239,San Rafael Del Sur,NI,2022-02-12 14:49:51,11.8485,-86.4384,77.97,57,7,13.85,clear sky
240,Kenai,US,2022-02-12 14:49:51,60.5544,-151.2583,27.14,97,100,0.0,light snow
241,Ankazoabo,MG,2022-02-12 14:49:51,-22.2833,44.5167,86.47,52,81,4.74,broken clouds
242,Luanda,AO,2022-02-12 14:48:42,-8.8368,13.2343,82.4,69,20,11.5,few clouds
243,Avera,US,2022-02-12 14:49:52,33.194,-82.5271,54.91,58,100,5.28,overcast clouds
244,Channel-Port Aux Basques,CA,2022-02-12 14:45:46,47.5702,-59.1367,38.08,96,100,17.74,overcast clouds
245,Cabedelo,BR,2022-02-12 14:49:52,-6.9811,-34.8339,88.47,67,53,9.84,broken clouds
246,Fortuna,US,2022-02-12 14:49:52,40.5982,-124.1573,49.12,76,0,9.22,clear sky
247,Nawa,IN,2022-02-12 14:49:53,27.0167,75.0,63.84,23,0,4.32,clear sky
248,Antalaha,MG,2022-02-12 14:49:53,-14.9003,50.2788,77.16,86,8,10.6,moderate rain
249,Changde,CN,2022-02-12 14:49:53,29.0464,111.6783,40.93,93,100,2.8,overcast clouds
250,Belaya Gora,RU,2022-02-12 14:49:54,68.5333,146.4167,-24.63,92,100,5.61,overcast clouds
251,Yueyang,CN,2022-02-12 14:49:54,29.3333,113.0919,40.95,90,87,3.69,overcast clouds
252,Carutapera,BR,2022-02-12 14:49:54,-1.195,-46.02,79.93,86,100,6.13,overcast clouds
253,Tasiilaq,GL,2022-02-12 14:49:54,65.6145,-37.6368,17.76,64,100,3.29,overcast clouds
254,Charters Towers,AU,2022-02-12 14:49:55,-20.1,146.2667,74.34,76,3,11.61,clear sky
255,Cidreira,BR,2022-02-12 14:49:55,-30.1811,-50.2056,78.98,69,0,15.32,clear sky
256,Udachnyy,RU,2022-02-12 14:49:55,66.4167,112.4,-2.56,76,93,3.2,overcast clouds
257,Matadi,CD,2022-02-12 14:49:56,-5.8167,13.45,94.12,41,82,2.64,broken clouds
258,Krasnoselkup,RU,2022-02-12 14:49:56,65.7,82.4667,-5.58,90,5,13.29,clear sky
