City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Safakulevo,RU,2022-02-02 20:17:30,54.9901,62.5442,14.72,92,28,8.3
238,Saint-Augustin,CA,2022-02-02 20:17:31,51.226,-58.6502,24.49,81,100,25.01
239,Anito,PH,2022-02-02 20:17:31,12.4497,125.2886,76.6,90,70,11.92
240,Tautira,PF,2022-02-02 20:17:31,-17.7333,-149.15,80.62,77,18,17.98
241,Saint-Philippe,RE,2022-02-02 20:17:32,-21.3585,55.7679,80.19,93,100,31.65
242,Mwinilunga,ZM,2022-02-02 20:17:32,-11.7358,24.4293,62.47,95,100,2.37
243,Kaohsiung,TW,2022-02-02 20:14:15,22.6163,120.3133,63.03,94,17,1.01
244,Alberton,CA,2022-02-02 20:16:27,46.8168,-64.0654,28.53,85,99,18.57
245,Ust-Ilimsk,RU,2022-02-02 20:17:33,58.0006,102.6619,-8.66,100,97,3.49
246,Asau,RO,2022-02-02 20:17:33,46.4333,26.4,27.52,89,93,6.11
247,Bredasdorp,ZA,2022-02-02 20:14:39,-34.5322,20.0403,70.92,68,46,8.05
248,Erenhot,CN,2022-02-02 20:17:33,43.6475,111.9767,-2.69,94,7,4.76
249,Mae Hong Son,TH,2022-02-02 20:17:34,19.3003,97.9685,54.41,48,4,1.79
250,Borba,BR,2022-02-02 20:17:34,-4.3878,-59.5939,81.68,88,67,3.29
251,Bastrop,US,2022-02-02 20:17:34,32.7562,-91.8724,67.68,77,100,1.99
252,Umba,RU,2022-02-02 20:17:35,66.6871,34.3429,14.54,91,100,9.6
253,Gaoua,BF,2022-02-02 20:17:35,10.2992,-3.2508,78.19,7,11,2.51
254,Tuatapere,NZ,2022-02-02 20:17:35,-46.1333,167.6833,57.81,90,100,7.49
255,Ponta Do Sol,PT,2022-02-02 20:17:36,32.6667,-17.1,67.01,82,100,3.89
256,Saint Anthony,US,2022-02-02 20:17:36,45.0205,-93.218,8.83,53,0,5.01
257,Salinopolis,BR,2022-02-02 20:17:36,-0.6136,-47.3561,79.68,83,97,14.81
258,Grand Gaube,MU,2022-02-02 20:17:37,-20.0064,57.6608,81.0,89,100,21.99
259,Ugoofaaru,MV,2022-02-02 20:17:37,5.6667,73.0,81.82,71,21,9.19
260,Neiafu,TO,2022-02-02 20:17:37,-18.65,-173.9833,83.08,78,40,8.05
261,Koster,ZA,2022-02-02 20:17:38,-25.863,26.8976,68.99,60,39,4.52
262,Roma,US,2022-02-02 20:14:42,43.2128,-75.4557,44.11,58,0,9.22
263,Adzhamka,UA,2022-02-02 20:17:38,48.5424,32.5354,31.93,95,100,4.07
264,Sistranda,NO,2022-02-02 20:17:38,63.7256,8.834,30.9,60,89,19.39
265,Venado Tuerto,AR,2022-02-02 20:17:39,-33.7456,-61.9688,89.78,83,100,8.88
266,Kampot,KH,2022-02-02 20:17:39,10.6167,104.1833,77.05,79,36,5.37
267,Zalantun,CN,2022-02-02 20:17:39,48.0,122.7167,-7.51,86,13,7.29
268,Hayden,US,2022-02-02 20:17:40,47.766,-116.7866,24.96,62,20,6.91
269,Tonstad,NO,2022-02-02 20:17:40,58.6626,6.7169,38.35,90,100,10.0
270,Ibicui,BR,2022-02-02 20:17:40,-14.8417,-39.9867,84.69,60,26,3.58
271,Marienburg,PL,2022-02-02 20:17:41,54.0359,19.0266,34.12,83,100,9.66
272,Sunrise Manor,US,2022-02-02 20:17:41,36.2111,-115.0731,50.74,13,0,26.46
273,Faanui,PF,2022-02-02 20:17:42,-16.4833,-151.75,80.71,75,18,16.98
