City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
183,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
184,Souillac,MU,82.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
186,Zajecar,RS,49.05,overcast clouds,43.9036,22.2641,Hotel Hamburg
189,Khasan,RU,23.22,overcast clouds,42.4308,130.6434,
190,Lock Haven,US,45.7,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
191,Roma,US,43.68,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
192,Saint-Joseph,RE,80.96,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
194,Sorkjosen,NO,18.32,broken clouds,69.8,20.9333,Reisafjord Hotel AS
195,Narsaq,GL,32.22,snow,60.9167,-46.05,Sleep In Narsaq
196,Half Moon Bay,US,62.24,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
197,Umm Kaddadah,SD,80.55,clear sky,13.6017,26.6876,
198,Hervey Bay,AU,71.71,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
199,Ayr,GB,51.21,scattered clouds,55.4627,-4.6339,Mercure Ayr Hotel
200,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
203,Sampit,ID,73.8,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
204,Atar,MR,83.91,scattered clouds,20.5169,-13.0499,Oumou Elghoura
205,Artemovsk,UA,34.14,broken clouds,49.8406,36.0417,ACAPULCO
206,Muros,ES,57.09,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
207,Brejo,BR,89.67,broken clouds,-3.6844,-42.7503,Hotel Santa Luzia
208,Northam,GB,47.91,overcast clouds,51.0333,-4.2167,Durrant House Hotel
209,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
210,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
211,Soyo,AO,87.85,broken clouds,-6.1349,12.3689,Hotel Mpampa
212,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
213,Grand Gaube,MU,82.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
214,Bac Lieu,VN,78.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
215,Bredasdorp,ZA,76.32,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
217,Aksu,CN,31.53,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
218,Ahome,MX,51.75,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
219,Zemio,CF,98.42,overcast clouds,5.0314,25.1361,OCHA Office
220,Ambovombe,MG,77.23,clear sky,-25.1667,46.0833,RELAHARA
222,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
223,Chester,US,54.21,clear sky,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
224,Shaunavon,CA,20.98,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
226,Saint-Philippe,RE,81.95,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
227,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
229,Cabra,ES,66.13,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
230,Chitral,PK,36.41,broken clouds,35.8462,71.7858,PTDC Motel Chitral
231,Conyers,US,58.73,clear sky,33.6676,-84.0177,Hampton Inn Conyers
232,Itarema,BR,84.34,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
